url,city,feature,current_status,gsc_clicks_3mo,gsc_impressions_3mo,ai_feature_impr_3mo,googlebot_req_14d,all_req_14d,matching_pools,matching_indexable,hub_indexable,internal_referer_hits_14d,external_referer_hits_14d,classification,proposed_destination
/public-pools/north-carolina/wilmington/feature/lap-swimming/,"Wilmington, NC",lap-swimming,301 -> /public-pools/north-carolina/wilmington/,0,0,0,0,1,4,4,True,1,0,CONSOLIDATE,/public-pools/north-carolina/wilmington/
/public-pools/north-carolina/wilmington/feature/lazy-river/,"Wilmington, NC",lazy-river,301 -> /public-pools/north-carolina/wilmington/,0,0,0,1,1,0,0,True,0,0,RETIRE,/public-pools/north-carolina/wilmington/
/public-pools/ohio/akron/feature/kiddie-pool/,"Akron, OH",kiddie-pool,301 -> /public-pools/ohio/akron/,0,0,0,0,2,1,1,True,2,0,CONSOLIDATE,/public-pools/ohio/akron/
/public-pools/ohio/cincinnati/feature/lap-swimming/,"Cincinnati, OH",lap-swimming,301 -> /public-pools/ohio/cincinnati/,0,0,0,1,2,1,1,True,1,0,CONSOLIDATE,/public-pools/ohio/cincinnati/
/public-pools/ohio/cincinnati/feature/splash-pad/,"Cincinnati, OH",splash-pad,301 -> /public-pools/ohio/cincinnati/,0,0,0,2,2,0,0,True,0,0,CONSOLIDATE,/public-pools/ohio/cincinnati/
/public-pools/ohio/columbus/feature/heated/,"Columbus, OH",heated,301 -> /public-pools/ohio/columbus/,2,97,0,0,1,0,0,True,0,0,CONSOLIDATE,/public-pools/ohio/columbus/
/public-pools/ohio/dayton/feature/diving-board/,"Dayton, OH",diving-board,301 -> /public-pools/ohio/dayton/,0,0,0,0,1,1,1,True,1,0,CONSOLIDATE,/public-pools/ohio/dayton/
/public-pools/ohio/dayton/feature/indoor/,"Dayton, OH",indoor,301 -> /public-pools/ohio/dayton/,0,0,4,0,1,1,1,True,1,0,CONSOLIDATE,/public-pools/ohio/dayton/
/public-pools/ohio/dayton/feature/kiddie-pool/,"Dayton, OH",kiddie-pool,301 -> /public-pools/ohio/dayton/,0,0,0,1,1,0,0,True,0,0,RETIRE,/public-pools/ohio/dayton/
/public-pools/ohio/dayton/feature/lap-swimming/,"Dayton, OH",lap-swimming,301 -> /public-pools/ohio/dayton/,0,0,0,1,1,3,3,True,0,0,CONSOLIDATE,/public-pools/ohio/dayton/
/public-pools/ohio/dayton/feature/lazy-river/,"Dayton, OH",lazy-river,301 -> /public-pools/ohio/dayton/,0,0,0,0,1,1,1,True,1,0,CONSOLIDATE,/public-pools/ohio/dayton/
/public-pools/ohio/dayton/feature/olympic-size/,"Dayton, OH",olympic-size,301 -> /public-pools/ohio/dayton/,2,26,0,2,3,1,1,True,0,0,CONSOLIDATE,/public-pools/ohio/dayton/
/public-pools/ohio/dayton/feature/water-slides/,"Dayton, OH",water-slides,301 -> /public-pools/ohio/dayton/,0,0,0,1,1,1,1,True,0,0,RETIRE,/public-pools/ohio/dayton/
/public-pools/ohio/dublin/feature/lap-swimming/,"Dublin, OH",lap-swimming,301 -> /public-pools/ohio/dublin/,0,0,0,0,1,2,2,True,1,0,CONSOLIDATE,/public-pools/ohio/dublin/
/public-pools/oklahoma/norman/feature/indoor/,"Norman, OK",indoor,301 -> /public-pools/oklahoma/norman/,0,0,0,1,1,0,0,True,0,0,RETIRE,/public-pools/oklahoma/norman/
/public-pools/oklahoma/norman/feature/kiddie-pool/,"Norman, OK",kiddie-pool,301 -> /public-pools/oklahoma/norman/,0,0,0,2,2,0,0,True,0,0,CONSOLIDATE,/public-pools/oklahoma/norman/
/public-pools/oklahoma/norman/feature/splash-pad/,"Norman, OK",splash-pad,301 -> /public-pools/oklahoma/norman/,0,0,0,1,1,1,1,True,0,0,RETIRE,/public-pools/oklahoma/norman/
/public-pools/oklahoma/norman/feature/water-slides/,"Norman, OK",water-slides,301 -> /public-pools/oklahoma/norman/,0,0,0,0,1,1,1,True,1,0,CONSOLIDATE,/public-pools/oklahoma/norman/
/public-pools/oklahoma/oklahoma-city/feature/heated/,"Oklahoma City, OK",heated,301 -> /public-pools/oklahoma/oklahoma-city/,9,453,41,3,6,1,1,True,1,0,CONSOLIDATE,/public-pools/oklahoma/oklahoma-city/
/public-pools/oklahoma/oklahoma-city/feature/indoor/,"Oklahoma City, OK",indoor,301 -> /public-pools/oklahoma/oklahoma-city/,0,0,0,0,1,1,1,True,1,0,CONSOLIDATE,/public-pools/oklahoma/oklahoma-city/
/public-pools/oklahoma/oklahoma-city/feature/lap-swimming/,"Oklahoma City, OK",lap-swimming,301 -> /public-pools/oklahoma/oklahoma-city/,0,0,0,0,1,1,1,True,0,1,CONSOLIDATE,/public-pools/oklahoma/oklahoma-city/
/public-pools/oklahoma/oklahoma-city/feature/olympic-size/,"Oklahoma City, OK",olympic-size,301 -> /public-pools/oklahoma/oklahoma-city/,0,0,0,0,1,0,0,True,1,0,CONSOLIDATE,/public-pools/oklahoma/oklahoma-city/
/public-pools/oregon/beaverton/feature/lazy-river/,"Beaverton, OR",lazy-river,301 -> /public-pools/oregon/beaverton/,1,416,4,0,3,1,1,True,1,0,CONSOLIDATE,/public-pools/oregon/beaverton/
/public-pools/oregon/beaverton/feature/olympic-size/,"Beaverton, OR",olympic-size,301 -> /public-pools/oregon/beaverton/,0,0,0,1,1,1,1,True,0,0,RETIRE,/public-pools/oregon/beaverton/
/public-pools/oregon/beaverton/feature/wave-pool/,"Beaverton, OR",wave-pool,301 -> /public-pools/oregon/beaverton/,0,0,0,0,1,1,1,True,1,0,CONSOLIDATE,/public-pools/oregon/beaverton/
/public-pools/oregon/portland/feature/diving-board/,"Portland, OR",diving-board,301 -> /public-pools/oregon/portland/,0,0,0,0,1,0,0,True,0,0,RETIRE,/public-pools/oregon/portland/
/public-pools/oregon/portland/feature/olympic-size/,"Portland, OR",olympic-size,301 -> /public-pools/oregon/portland/,0,0,0,0,1,0,0,True,1,0,CONSOLIDATE,/public-pools/oregon/portland/
/public-pools/oregon/portland/feature/splash-pad/,"Portland, OR",splash-pad,301 -> /public-pools/oregon/portland/,0,0,0,0,1,0,0,True,1,0,CONSOLIDATE,/public-pools/oregon/portland/
/public-pools/pennsylvania/harrisburg/feature/diving-board/,"Harrisburg, PA",diving-board,301 -> /public-pools/pennsylvania/harrisburg/,0,0,0,0,1,2,2,True,1,0,CONSOLIDATE,/public-pools/pennsylvania/harrisburg/
/public-pools/pennsylvania/harrisburg/feature/heated/,"Harrisburg, PA",heated,301 -> /public-pools/pennsylvania/harrisburg/,0,0,0,1,1,0,0,True,0,0,RETIRE,/public-pools/pennsylvania/harrisburg/
/public-pools/pennsylvania/harrisburg/feature/indoor/,"Harrisburg, PA",indoor,301 -> /public-pools/pennsylvania/harrisburg/,2,107,0,0,1,1,1,True,0,0,CONSOLIDATE,/public-pools/pennsylvania/harrisburg/
/public-pools/pennsylvania/harrisburg/feature/kiddie-pool/,"Harrisburg, PA",kiddie-pool,301 -> /public-pools/pennsylvania/harrisburg/,2,93,4,0,1,2,2,True,0,0,CONSOLIDATE,/public-pools/pennsylvania/harrisburg/
/public-pools/pennsylvania/harrisburg/feature/lap-swimming/,"Harrisburg, PA",lap-swimming,301 -> /public-pools/pennsylvania/harrisburg/,0,0,4,0,1,2,2,True,1,0,CONSOLIDATE,/public-pools/pennsylvania/harrisburg/
/public-pools/pennsylvania/lancaster/feature/diving-board/,"Lancaster, PA",diving-board,301 -> /public-pools/pennsylvania/lancaster/,0,0,0,0,1,2,2,True,1,0,CONSOLIDATE,/public-pools/pennsylvania/lancaster/
/public-pools/pennsylvania/lancaster/feature/heated/,"Lancaster, PA",heated,301 -> /public-pools/pennsylvania/lancaster/,0,0,0,2,2,0,0,True,0,0,CONSOLIDATE,/public-pools/pennsylvania/lancaster/
/public-pools/pennsylvania/philadelphia/feature/indoor/,"Philadelphia, PA",indoor,301 -> /public-pools/pennsylvania/philadelphia/,2,51,0,6,7,0,0,True,0,0,CONSOLIDATE,/public-pools/pennsylvania/philadelphia/
/public-pools/pennsylvania/philadelphia/feature/kiddie-pool/,"Philadelphia, PA",kiddie-pool,301 -> /public-pools/pennsylvania/philadelphia/,0,0,0,5,5,0,0,True,0,0,CONSOLIDATE,/public-pools/pennsylvania/philadelphia/
