url,hits_404log,first_seen,last_seen,gsc_clicks,gsc_impr,current_status,current_target,wrong_audience_now,intent,proposed_rule,proposed_destination,dest_h1
/p/akron-oh,110,2026-07-07,2026-08-19,0,0,301,/p/become-a-swimming-pool-host-akron-oh,True,guest-city,2 public-pools city hub,/public-pools/ohio/akron/,
/p/boston-ma,86,2026-07-31,2026-08-19,0,0,301,/p/become-a-swimming-pool-host-boston-ma,True,guest-city,2 public-pools city hub,/public-pools/massachusetts/boston/,
/p/blackhawk-ca,78,2026-07-08,2026-08-16,0,0,301,/p/become-a-swimming-pool-host-blackhawk-ca,True,guest-city,3 search,/s?address=Blackhawk%2C+CA,
/p/bloomington-mn,72,2026-07-08,2026-08-13,0,0,301,/p/become-a-swimming-pool-host-bloomington-mn,True,guest-city,3 search,/s?address=Bloomington%2C+MN,
/p/bend-or,68,2026-07-07,2026-08-19,0,0,301,/p/become-a-swimming-pool-host-bend-or,True,guest-city,3 search,/s?address=Bend%2C+OR,
/p/baltimore-md,60,2026-07-06,2026-08-19,0,0,301,/p/become-a-swimming-pool-host-baltimore-md,True,guest-city,2 public-pools city hub,/public-pools/maryland/baltimore/,
/p/orlando-fl,53,2026-07-07,2026-08-17,0,0,301,/p/become-a-swimming-pool-host-orlando-fl,True,guest-city,2 public-pools city hub,/public-pools/florida/orlando/,
/p/las-vegas-nv,50,2026-07-09,2026-08-17,0,0,301,/p/become-a-swimming-pool-host-las-vegas-nv,True,guest-city,2 public-pools city hub,/public-pools/nevada/las-vegas/,
/p/miami-fl,49,2026-07-07,2026-08-17,0,0,301,/p/become-a-swimming-pool-host-miami-fl,True,guest-city,2 public-pools city hub,/public-pools/florida/miami/,
/p/avon-in,48,2026-07-06,2026-08-19,0,0,301,/p/become-a-swimming-pool-host-avon-in,True,guest-city,3 search,/s?address=Avon%2C+IN,
/p/atlanta-ga,44,2026-07-07,2026-08-17,0,0,301,/p/become-a-swimming-pool-host-atlanta-ga,True,guest-city,2 public-pools city hub,/public-pools/georgia/atlanta/,
/p/brentwood-tn,33,2026-09-09,2026-09-23,0,0,404,,False,guest-city,3 search,/s?address=Brentwood%2C+TN,
/p/brandon-fl,28,2026-09-09,2026-09-22,0,0,404,,False,guest-city,3 search,/s?address=Brandon%2C+FL,
/p/brambleton-va,26,2026-09-09,2026-09-22,0,0,404,,False,guest-city,3 search,/s?address=Brambleton%2C+VA,
/p/charlotte-nc,20,2026-07-06,2026-08-18,0,0,301,/p/become-a-swimming-pool-host-charlotte-nc,True,guest-city,2 public-pools city hub,/public-pools/north-carolina/charlotte/,
/p/houston-tx,18,2026-07-07,2026-07-16,0,0,301,/p/become-a-swimming-pool-host-houston-tx,True,guest-city,2 public-pools city hub,/public-pools/texas/houston/,
/p/this-cms-page-does-not-exist-zz,16,2026-09-02,2026-09-02,0,0,404,,False,guest-city,LEAVE 404 (not a US city URL),,
/p/dallas-tx,11,2026-07-07,2026-07-16,0,0,301,/p/become-a-swimming-pool-host-dallas-tx,True,guest-city,2 public-pools city hub,/public-pools/texas/dallas/,
/p/scottsdale-az,10,2026-09-08,2026-09-11,0,0,404,,False,guest-city,2 public-pools city hub,/public-pools/arizona/scottsdale/,
/p/is-renting-out-your-pool-worth-it,9,2026-07-10,2026-07-16,0,0,301,/p/pool-rentals,False,guest-city,LEAVE 404 (not a US city URL),,
/p/bull-run-va,7,2026-07-11,2026-07-16,0,0,301,/p/pool-rentals,False,guest-city,3 search,/s?address=Bull+Run%2C+VA,
/p/carmel-in,7,2026-07-10,2026-07-16,0,0,301,/p/become-a-swimming-pool-host-carmel-in,True,guest-city,2 public-pools city hub,/public-pools/indiana/carmel/,
/p/evansville-in,7,2026-07-11,2026-07-16,0,0,301,/p/become-a-swimming-pool-host-evansville-in,True,guest-city,3 search,/s?address=Evansville%2C+IN,
/p/gary-in,7,2026-07-07,2026-07-16,0,0,301,/p/become-a-swimming-pool-host-gary-in,True,guest-city,3 search,/s?address=Gary%2C+IN,
/p/san-antonio-tx,7,2026-07-07,2026-07-16,0,0,301,/p/become-a-swimming-pool-host-san-antonio-tx,True,guest-city,2 public-pools city hub,/public-pools/texas/san-antonio/,
/p/china-grove-tx,6,2026-07-07,2026-07-16,0,0,301,/p/pool-rentals,False,guest-city,3 search,/s?address=China+Grove%2C+TX,
/p/fort-wayne-in,6,2026-07-11,2026-07-16,0,0,301,/p/become-a-swimming-pool-host-fort-wayne-in,True,guest-city,2 public-pools city hub,/public-pools/indiana/fort-wayne/,
/p/greenwood-in,6,2026-07-11,2026-07-16,0,0,301,/p/become-a-swimming-pool-host-greenwood-in,True,guest-city,3 search,/s?address=Greenwood%2C+IN,
